de_sign,dec_rad,ded,dem,des,dm,glat,glon,hd_cat_num,hrn,n_spectral_type,n_vmag,name,ra_rad,rah,ram,ras,spectral_type,u_vmag,vmag,x,y,z
+,0.9373145303731214,53.0,2.0,49.0,BD+52   61,-9.62,118.92,2054,96,,,,0.10954849938351074,0.0,25.0,6.4,B9IV,,5.74,0.5884061332879015,0.06471810757360116,0.8059713325306751
+,0.26347199499897733,1.0,56.0,23.0,BD+01   57,-60.26,109.73,2114,97,,,44    Psc,0.11084295191207322,0.0,25.0,24.2,G5III,,5.77,0.9595665508258595,0.10679893063589926,0.2604342968028435
-,-1.4104442017679175,77.0,15.0,15.0,CP-77   16,-39.77,304.81,2151,98,,,Bet Hyi,0.1123628428023516,0.0,25.0,45.1,G2IV,,2.8,0.1586589610487998,0.0179027786895916,-0.9871711222448248
-,-0.8131779873250248,42.0,18.0,22.0,CD-42  116,-73.98,320.02,2261,99,,,Alp Phe,0.11468267626646074,0.0,26.0,17.0,K0III,,2.39,0.6826791079735051,0.07863651531822106,-0.7264747304587453
-,-0.9285151620609834,43.0,40.0,48.0,CD-44  101,-72.68,318.42,2262,100,,,Kap Phe,0.11433361041606187,0.0,26.0,12.2,A7V,,3.94,0.5951125912531848,0.0683394125705036,-0.8007313709487335
-,-0.01301724733779104,0.0,2.0,59.0,BD-00   63,-62.27,109.5,2273,101,,,10    Cet,0.11616620613065594,0.0,26.0,37.4,G8III,,6.19,0.9931761383682193,0.11589529334049509,-0.013016879714904592
-,-0.5795947557664504,25.0,32.0,50.0,CD-26  138,-84.35,47.84,2363,102,,,,0.11887873867646377,0.0,27.0,14.7,G8III,,5.98,0.8307795455420155,0.09922990962358921,-0.5476849201366571
+,0.5305073705541098,17.0,53.0,35.0,BD+17   55,-44.62,115.1,2411,103,v,,47    Psc,0.12238394159088573,0.0,28.0,2.9,M3III,,5.06,0.8560989584739807,0.10529900746780207,0.5059710390190938
+,0.8712101849538363,44.0,23.0,40.0,BD+43   92,-18.28,118.57,2421,104,,,,0.12316933975428317,0.0,28.0,13.7,A2V s,,5.17,0.639023056758252,0.07910849656349417,0.7651087365223348
-,-0.577849426514456,33.0,0.0,26.0,CD-33  152,-82.23,342.36,2429,105,,,Eta Scl,0.12186034281528742,0.0,27.0,55.7,M4III,,4.81,0.8314275253301802,0.10182256270307233,-0.5462237964863043
+,0.39575340788971425,16.0,26.0,42.0,BD+15   63,-46.06,114.89,2436,106,,,48    Psc,0.12309661770211672,0.0,28.0,12.7,K5III,,6.06,0.9157244257536514,0.11329540514880894,0.3855034724231581
+,0.22420208682910492,10.0,11.0,23.0,BD+09   47,-52.26,113.62,2454,107,,,,0.12363476088814833,0.0,28.0,20.1,F6Va vw,,6.04,0.967529810871955,0.12023355416955173,0.22232849013528735
-,-0.43676864531158094,20.0,20.0,6.0,BD-21   57,-81.4,83.87,2475,108,,,,0.12370748294031475,0.0,28.0,21.1,G0V,,6.43,0.8991986887685153,0.11180854475964402,-0.42301367287088193
-,-0.9202248481140102,39.0,54.0,54.0,CD-40   93,-76.35,321.94,2490,109,,,,0.12409290981679683,0.0,28.0,26.4,M0III,,5.43,0.6009840827030293,0.07496304574948752,-0.7957378174433829
+,0.8639379797371932,36.0,54.0,0.0,BD+36   66,-25.75,117.94,2507,110,,,,0.12628911579222302,0.0,28.0,56.6,G5III,,6.26,0.6442759237472642,0.0818003762796593,0.760405965600031
-,-1.0121455220523785,50.0,31.0,58.0,CD-51  113,-66.2,311.91,2529,111,,,,0.1253073680879762,0.0,28.0,43.1,K0III,,6.26,0.5258866968353586,0.06624456403022434,-0.8479710135541433
+,1.348994067687284,77.0,1.0,10.0,BD+76   10,14.2,121.74,2589,112,,,,0.13489940676872839,0.0,30.0,55.0,K0IV,,6.21,0.217989466313562,0.029586337036480507,0.9755025582934636
+,1.2855804381981566,59.0,58.0,38.0,BD+59   68,-2.79,120.29,2626,113,,,,0.1323468627376867,0.0,30.0,19.9,B9IIIn,,5.94,0.2789040713571996,0.037129113113636744,0.959600931606349
+,0.7029313562407162,29.0,45.0,6.0,BD+28   75,-32.89,117.42,2628,114,,,28    And,0.13143056488038965,0.0,30.0,7.3,A7III,,5.23,0.7563703519267109,0.09998656915153645,0.6464569411148499
-,-0.4705843995689711,14.0,51.0,51.0,BD-15   84,-76.75,99.58,2630,115,,,,0.13031064527702665,0.0,29.0,51.9,F2III,,6.14,0.8837466203660991,0.11581789836909862,-0.4534072401372339
-,-0.5890486225480862,32.0,7.0,0.0,CD-32  154,-83.15,344.92,2632,116,,,,0.13009247912052735,0.0,29.0,48.9,K4III,,6.57,0.8244436117823826,0.10786309458644738,-0.5555702330196022
-,-0.302960069325349,3.0,57.0,26.0,BD-04   54,-66.27,109.57,2637,117,,,12    Cet,0.13107422682477418,0.0,30.0,2.4,M0III,,5.72,0.9462702701420348,0.12474686617238911,-0.29834677009394395
-,-0.6076654679026925,23.0,47.0,16.0,CD-24  179,-84.19,66.87,2696,118,,,,0.1325504844837527,0.0,30.0,22.7,A5Vn,,5.19,0.8137815284169572,0.1085033359393007,-0.5709524061578202
-,-0.9440776812245996,40.0,56.0,22.0,CD-41  116,-75.53,318.97,2724,119,,,,0.13292136694980147,0.0,30.0,27.8,F2III,,6.19,0.5813167096790167,0.07772771855137081,-0.8099563474760605
-,-0.8940449093340952,48.0,12.0,54.0,CD-48  102,-68.52,312.52,2726,120,,,,0.13279773946111856,0.0,30.0,26.1,F2V,,5.69,0.6207496567833497,0.08292217605826124,-0.7796112982256711
+,1.2879075438674825,66.0,31.0,10.0,BD+65   67,3.73,120.94,2729,121,,,13    Cas,0.13710288494937123,0.0,31.0,25.3,B6V,,6.18,0.2765114403875937,0.03814985310387263,0.9602530979085312
+,0.728238630394634,33.0,34.0,54.0,BD+32   80,-29.1,118.16,2767,122,,,,0.13712470156502116,0.0,31.0,25.6,K1III,,5.87,0.7393419798798281,0.10202229937581828,0.6655560736838384
+,1.079195254149827,54.0,31.0,20.0,BD+53   82,-8.24,120.05,2772,123,,,14Lam Cas,0.1386373202500829,0.0,31.0,46.4,B8Vn,,4.73,0.46750886737357056,0.0652326435337053,0.8815782217958232
+,1.1273372526840042,52.0,50.0,22.0,BD+52   92,-9.92,119.91,2774,124,,,,0.13825916557881748,0.0,31.0,41.2,K2III,,5.6,0.4249721108910281,0.05913356160266154,0.9032728972226544
-,-1.048142937874761,48.0,48.0,13.0,CD-49  115,-67.98,311.75,2834,125,,,Lam1Phe,0.1370810683337213,0.0,31.0,25.0,A0V,,4.77,0.49449827734332,0.06821416414852359,-0.8664977100454492
-,-1.3329224941585027,62.0,57.0,29.0,CP-63   50,-54.02,306.78,2884,126,,,Bet1Tuc,0.1376410281354028,0.0,31.0,32.7,B9V,,4.37,0.23340830888937064,0.0323309887062506,-0.9718411745293983
-,-1.3349587116191628,62.0,57.0,57.0,CP-63   50,-54.01,306.78,2885,127,,,Bet2Tuc,0.1377064779823526,0.0,31.0,33.6,A2V+A7V,,4.54,0.23144556303747024,0.03207455415314915,-0.9723189673796069
